,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
282,lagoa,39.05,-27.9833,61.16,85,3,12.8,PT,1651332165
283,broken hill,-31.95,141.4333,53.31,82,0,5.75,AU,1651332316
284,gunjur,13.2019,-16.7339,91.47,43,53,9.22,GM,1651332317
285,marawi,7.9986,124.2928,69.82,90,100,0.31,PH,1651332318
286,walla walla,46.0646,-118.343,49.3,79,100,11.5,US,1651332318
287,maceio,-9.6658,-35.7353,85.44,58,75,12.66,BR,1651332310
288,iqaluit,63.7506,-68.5145,22.69,73,100,10.36,CA,1651332319
289,jacareacanga,-6.2222,-57.7528,90.7,50,73,4.32,BR,1651332320
290,gobabis,-22.45,18.9667,80.28,19,49,6.62,NA,1651332320
291,coos bay,43.3665,-124.2179,50.27,96,100,6.91,US,1651332316
292,torbay,47.6666,-52.7314,38.3,95,100,6.91,CA,1651332321
293,airai,-8.9266,125.4092,60.26,90,91,3.13,TL,1651332322
294,ulaangom,49.9811,92.0667,52.86,30,91,0.87,MN,1651332323
295,marica,-22.9194,-42.8186,73.31,85,81,10.54,BR,1651332324
296,inegol,40.0781,29.5133,54.68,86,100,7.81,TR,1651332324
297,tiksi,71.6872,128.8694,33.85,82,86,19.64,RU,1651332325
298,bonavista,48.6499,-53.1147,37.15,94,100,5.61,CA,1651332326
299,luderitz,-26.6481,15.1594,67.46,52,0,25.28,NA,1651332131
300,kaeo,-35.1,173.7833,55.33,96,11,6.31,NZ,1651332326
301,hermosillo,29.0667,-110.9667,74.08,30,0,1.99,MX,1651332144
302,stantsiya gorchakovo,,,,,,,,
303,dolzhanskaya,46.6311,37.8039,58.55,72,91,17.58,RU,1651332328
304,mrirt,,,,,,,,
305,ambon,-3.6954,128.1814,82.54,78,40,8.05,ID,1651332328
306,missouri city,29.6186,-95.5377,80.46,75,40,10.36,US,1651332294
307,miandrivazo,-19.5167,45.4667,78.31,72,10,8.32,MG,1651332329
308,nantucket,41.2835,-70.0995,48.43,64,75,18.41,US,1651332180
309,nabire,-3.3667,135.4833,76.57,92,100,3,ID,1651332307
310,gumdag,39.2061,54.5906,70.66,66,100,10.96,TM,1651332330
311,zeya,53.75,127.2667,31.26,45,69,5.46,RU,1651332331
312,college,64.8569,-147.8028,32.5,76,40,5.75,US,1651332331
313,saldanha,-33.0117,17.9442,64.45,75,40,12.35,ZA,1651332332
314,apac,1.9756,32.5386,75.99,65,100,3.33,UG,1651332333
315,hamilton,39.1834,-84.5333,63.18,77,100,11.5,US,1651332236
316,grand centre,,,,,,,,
317,zurrieq,35.8311,14.4742,63.91,52,0,9.22,MT,1651332334
318,syracuse,37.0881,15.2792,66.11,61,42,16.11,IT,1651332128
319,davila,18.4726,120.5763,84.18,80,86,4.76,PH,1651332334
320,itaqui,-29.1253,-56.5531,62.11,66,100,9.73,BR,1651332335
321,grand-santi,4.25,-54.3833,86.83,50,55,6.31,GF,1651332336
322,tuy hoa,13.0833,109.3,78.15,90,99,5.39,VN,1651332336
323,moose factory,51.2585,-80.6094,48.18,40,0,8.05,CA,1651332337
324,caravelas,-17.7125,-39.2481,83.5,57,6,7.4,BR,1651332179
325,sorvag,,,,,,,,
326,jiayuguan,39.8167,98.3,49.84,24,70,4.43,CN,1651332338
327,yarada,17.65,83.2667,86.32,84,40,10.36,IN,1651332339
328,ambunti,-4.2365,142.8448,73.02,99,82,1.1,PG,1651332339
329,bol,13.4586,14.7147,87.98,52,99,14.99,TD,1651332340
330,longyearbyen,78.2186,15.6401,15.64,53,0,3.44,SJ,1651332124
331,nyuzen,36.9333,137.5,52.27,73,100,2.17,JP,1651332341
332,lasa,46.6166,10.7002,54.36,98,100,4.29,IT,1651332341
333,vestmannaeyjar,63.4427,-20.2734,47.39,76,75,17.27,IS,1651332342
334,el alto,-4.2714,-81.2147,71.26,63,85,10.42,PE,1651332343
335,taoudenni,22.6783,-3.9836,94.39,10,0,8.3,ML,1651332343
336,guliston,40.4897,68.7842,82.51,35,0,8.14,UZ,1651332344
337,guajara-mirim,,,,,,,,
338,khandyga,62.6667,135.6,18.03,97,43,2.71,RU,1651332345
339,floro,61.5996,5.0328,46.36,76,100,5.75,NO,1651332346
340,sinnamary,5.3833,-52.95,83.14,67,83,12.28,GF,1651332166
341,ornskoldsvik,63.2909,18.7153,49.15,53,100,10.36,SE,1651332347
342,tres arroyos,-38.3739,-60.2798,54.64,36,5,11.07,AR,1651332256
343,chichimila,20.6167,-88.2167,89.65,59,4,6.89,MX,1651332347
344,bathsheba,13.2167,-59.5167,84.81,70,20,18.41,BB,1651332348
345,maldonado,-34.6667,-54.9167,60.19,55,100,4.52,UY,1651332127
346,cartagena,10.3997,-75.5144,91.02,58,40,4.61,CO,1651332096
347,constitucion,-35.3333,-72.4167,58.15,44,0,6.17,CL,1651332349
348,kaitangata,-46.2817,169.8464,49.23,88,22,4.76,NZ,1651332350
349,zhezkazgan,47.8043,67.7144,71.58,37,0,4.47,KZ,1651332234
350,surt,31.2089,16.5887,68.81,65,85,18.43,LY,1651332351
351,palabuhanratu,,,,,,,,
352,kozienice,51.5829,21.5478,64.06,42,91,6.53,PL,1651332351
353,zhuanghe,39.7008,122.9911,48.24,37,0,11.12,CN,1651332352
354,verkh-usugli,52.7,115.1667,36.72,78,98,3.87,RU,1651332353
355,cotonou,6.3654,2.4183,87.78,66,20,9.22,BJ,1651332354
356,gollere,,,,,,,,
357,salalah,17.0151,54.0924,86.09,84,75,6.91,OM,1651332355
358,cockburn town,21.4612,-71.1419,76.73,74,100,18.72,TC,1651332353
359,kodino,63.7198,39.6447,35.85,63,59,6.64,RU,1651332356
360,kiama,-34.6833,150.8667,57.6,71,43,5.01,AU,1651332150
361,eureka,40.8021,-124.1637,53.46,78,100,5.01,US,1651332356
362,mulege,26.8833,-111.9833,74.34,27,82,2.01,MX,1651332357
363,havelock,34.8791,-76.9013,67.05,78,100,5.75,US,1651332097
364,taganak,6.0833,118.3,75.34,73,92,5.82,PH,1651332358
365,linjiang,41.8069,126.9078,37.11,92,67,3.27,CN,1651332359
366,kayes,14,-11,104.36,14,70,8.19,ML,1651332359
367,seka,17.9285,103.9552,79.99,72,93,3.29,TH,1651332360
368,srem,52.0887,17.0151,62.73,44,100,4.12,PL,1651332360
369,tilichiki,60.4667,166.1,18.9,95,39,8.25,RU,1651332332
370,bereda,43.2686,-7.5406,78.13,45,17,5.39,ES,1651332361
371,vagay,57.9375,69.0217,39.79,49,94,3.31,RU,1651332362
372,padang,-0.9492,100.3543,78.85,86,100,2.35,ID,1651332363
373,marechal candido rondon,-24.5561,-54.0567,71.55,80,90,11.23,BR,1651332364
374,ijaki,,,,,,,,
375,brownsville,25.9018,-97.4975,81.68,77,75,16.11,US,1651332097
376,westport,41.1415,-73.3579,56.91,29,0,10.36,US,1651332271
377,faya,18.3851,42.4509,70.32,38,12,5.88,SA,1651332365
378,santa isabel do rio negro,-0.4139,-65.0192,73.56,96,100,1.61,BR,1651332366
379,solnechnyy,50.7214,136.6319,28.51,87,46,4.94,RU,1651332366
380,montepuez,-13.1256,38.9997,71.35,80,17,3.96,MZ,1651332367
381,lavrentiya,65.5833,-171,23.45,89,100,10.18,RU,1651332368
382,puerto guzman,0.9703,-76.5858,70.16,99,100,0.6,CO,1651332368
383,laguna,38.421,-121.4238,58.14,69,0,4.61,US,1651332289
384,juterbog,51.9833,13.0833,65.7,37,97,7.02,DE,1651332369
385,pokrovsk,48.282,37.1758,52.54,54,36,10.6,UA,1651332370
386,san giovanni in fiore,39.2633,16.6996,57.04,53,97,2.35,IT,1651332254
387,kuche,,,,,,,,
388,cidreira,-30.1811,-50.2056,66.58,64,50,12.01,BR,1651332371
